APINumber,gel,slick,xlinkgel,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,SandMassPerFoot,hybrid,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
35003228920000,1,1,0,5454.0,80.89499366462674,908.2951062292475,5011.0,197.0,1,1,0,0
35003224900000,0,1,0,6369.0,78.14089838234521,1060.6601717798212,7403.0,228.0,0,1,0,0
35073247950000,1,1,0,6855.0,78.32624081366346,1148.2861141718993,60457.0,371.0,1,1,0,0
35003222400000,0,1,0,5644.0,77.75602870517501,1268.1245995563686,9149.0,363.0,0,1,0,0
35053234070000,0,1,0,5091.0,79.56758133813042,1633.126755643909,63906.0,642.0,0,1,0,0
35071244870000,0,0,0,4817.0,78.8098978555359,1063.487658602581,19256.0,434.0,0,1,0,0
35073250390000,0,1,0,8753.0,79.56758133813042,1306.349111072534,4019.0,417.0,0,1,0,0
35003223240000,0,0,0,5546.0,77.56932383358772,908.2951062292475,41379.0,203.0,0,1,0,0
35043234500000,1,0,0,9696.0,77.70456872024965,2836.9032412121496,48587.0,2271.0,0,1,0,0
35073249480000,0,1,0,7673.0,77.70456872024965,2081.7105946792894,13387.0,999.0,0,1,0,0
35003227260000,0,1,0,6473.0,78.09609465267773,866.0254037844386,58125.0,178.0,0,1,0,0
35083243390000,0,1,0,5778.0,77.74316690230724,1330.7666963070574,33804.0,432.0,0,1,0,0
35071245920000,0,1,0,4647.0,82.83115355951527,888.9566918584954,8210.0,451.0,0,1,0,0
35083242490000,0,1,0,6370.0,80.1373820385967,1627.67318586994,43062.0,662.0,0,1,0,0
35083242620000,1,1,0,6077.0,78.4729252672538,1575.2241110394418,14092.0,549.0,1,1,0,0
35047250100000,0,1,0,6358.0,78.61297602813418,1174.7876403844227,30268.0,308.0,0,1,0,0
35003231300000,0,1,0,5862.0,78.76547467006087,635.4132513569417,47978.0,87.0,0,1,0,0
35093250070000,0,1,0,10725.0,77.80102827083971,28.635642126552707,67423.0,0.0,0,1,0,0
35151238450000,1,1,0,6423.0,78.86063656856949,1174.7340124470732,127705.0,288.0,0,1,0,0
35151241140000,1,1,0,6375.0,77.1686464828819,436.692111217961,41428.0,41.0,0,1,0,0
35103244200000,0,0,0,4654.0,79.22120928135344,1270.4184350047822,3336.0,398.0,0,1,0,0
35073251780000,0,0,1,8558.0,77.20103626247513,5490.4334983678655,100044.0,3003.0,0,0,0,1
35053231760000,0,0,0,5443.0,77.15568676384133,866.0254037844386,26374.0,179.0,0,1,0,0
35151241680000,0,1,0,5879.0,77.76245880886226,648.7526493202166,22154.0,95.0,0,1,0,0
35151241510000,0,1,0,7203.0,78.28793010419933,1049.5427575854164,23984.0,263.0,0,1,0,0
35073248940000,1,1,0,6533.0,75.63068160475615,1290.0775170508166,14428.0,310.0,0,1,0,0
35151244900000,0,1,0,7159.0,79.42921376924235,422.49260348555214,29902.0,37.0,0,1,0,0
35083242810000,0,1,0,6724.0,84.04165633779478,1696.0306601002235,53710.0,766.0,0,1,0,0
35073253810000,0,1,0,8194.0,78.26876771739798,3470.347533028933,55302.0,2573.0,0,1,0,0
35003222450000,0,1,0,5584.0,77.06490770772389,1002.796090937734,7138.0,216.0,0,1,0,0
