API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123403830000,LOLOFF FARMS,26G-432,PDC ENERGY,WATTENBERG,CODELL,16314.0,6654.0,H,7220.0,14644.0,7424.0,9555.04,2.0,147095.0,408196.0,79062.0,49529.0,2016-09-01,05N,64W,05N64W,Weld
5123403850000,NORTH PLATTE,K21-O24-13HC,BONANZA CREEK ENERGY,WATTENBERG,CODELL,11352.0,6563.0,H,7161.0,11351.0,4190.0,4492.35,1.0,52739.0,115151.0,33547.0,24799.0,2015-02-01,05N,63W,05N63W,Weld
5123403860000,NORTH PLATTE,F-J-13HNC,BONANZA CREEK ENERGY,WATTENBERG,NIOBRARA,11137.0,6453.0,H,6945.0,11137.0,4192.0,4438.94,1.0,85396.0,185625.0,54458.0,37046.0,2015-02-01,05N,63W,05N63W,Weld
5123403880000,NORTH PLATTE,K21-O24-13HNB,BONANZA CREEK ENERGY,WATTENBERG,NIOBRARA,11205.0,6403.0,H,6774.0,10996.0,4222.0,4497.6,1.0,80778.0,259364.0,37550.0,28607.0,2015-02-01,05N,63W,05N63W,Weld
5123403940000,STATE COYOTE,14-11-36HNB,BONANZA CREEK ENERGY,WATTENBERG,NIOBRARA,,,H,,,,4543.13,1.0,44496.0,77639.0,31556.0,16488.0,2015-01-01,08N,63W,08N63W,Weld
5123403950000,BERNHARDT,6K-443,PDC ENERGY,WATTENBERG,CODELL,11663.0,7170.0,H,7780.0,11663.0,3883.0,4435.35,2.0,143108.0,544725.0,52320.0,47376.0,2015-07-01,04N,66W,04N66W,Weld
5123403960000,BERNHARDT,6K-243,PDC ENERGY,WATTENBERG,NIOBRARA,11540.0,6987.0,H,7526.0,11540.0,4014.0,4438.4,2.0,142427.0,487968.0,61099.0,58841.0,2015-07-01,04N,66W,04N66W,Weld
5123403970000,BERNHARDT,6G-403,PDC ENERGY,WATTENBERG,CODELL,11758.0,7152.0,H,7757.0,11758.0,4001.0,4509.51,2.0,162267.0,608690.0,60819.0,65425.0,2015-08-01,04N,66W,04N66W,Weld
5123403980000,BERNHARDT,6G-323,PDC ENERGY,WATTENBERG,NIOBRARA,11655.0,7055.0,H,7583.0,11655.0,4072.0,4454.54,1.0,135670.0,459449.0,59095.0,61020.0,2015-08-01,04N,66W,04N66W,Weld
5123403990000,BERNHARDT,6O-443,PDC ENERGY,WATTENBERG,CODELL,11842.0,7192.0,H,7697.0,11842.0,4145.0,4123.47,2.0,150557.0,570015.0,55555.0,56016.0,2015-07-01,04N,66W,04N66W,Weld
