APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,HorizontalLength,GrossPerforatedInterval,nphf_sqrt,sandmass,sqrtsandmass,sandperft,location,First6BOE,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
5123390210000,0,1,1,1.0,6681.0,5715.42,4607.0,84.3114464352261,9687675.51336192,3112.5030945144326,813.4068441109924,14,41420.0,1,0,0
5123390240000,0,1,1,1.0,6523.0,7311.17,6862.0,80.30672450050494,6065351.850768722,2462.7935055072567,437.86831149066717,2,87384.0,0,1,0
5123390250000,0,1,1,1.0,6771.0,10035.89,8750.0,85.35742498459052,7502432.076108637,2739.056785849581,454.88583496687306,14,69616.0,0,0,1
5123390260000,0,1,1,1.0,6788.0,10007.75,9230.0,82.32709153128148,7827706.3767859135,2797.803848876099,475.6171088094491,14,60608.0,0,0,1
5123390270000,0,1,1,1.0,6679.0,10027.23,9163.0,82.8506487602843,7712198.718316016,2777.084571689529,472.87992631773966,14,53670.0,0,0,1
5123390280000,0,1,1,1.0,6985.0,4602.22,5195.060192685687,73.53339246433768,116362.16479488733,341.118989203016,10.200049508668243,2,39305.0,1,0,0
5123390290000,0,1,1,1.0,6758.0,4607.95,5200.64269994696,73.53439535382772,3261790.8473843704,1806.0428697526452,289.7309333260233,2,45306.0,1,0,0
5123390300000,0,1,1,1.0,6846.0,4618.24,5210.667830787887,73.53619631999001,2654454.8225609977,1629.2497729203455,233.91388989786725,1,47395.0,1,0,0
5123390310000,0,1,1,1.0,6846.0,4597.44,5190.403232003507,73.53255583750978,3744935.322039569,1935.1835370423057,330.445188567861,1,44133.0,1,0,0
5123390330000,0,1,1,1.0,6803.0,9866.89,9007.0,82.82445291096101,1635052.198798588,1278.691596436994,100.35304724719745,14,51460.0,0,0,1
5123390340000,0,1,1,1.0,6773.0,4893.03,4016.0,82.92786021597325,3529095.3726012195,1878.5886650890927,310.2228703060144,14,29311.0,1,0,0
5123390350000,0,1,1,1.0,6676.0,10037.45,9101.0,83.28535285390824,7576554.319138274,2752.5541446333573,462.2668895142327,14,44375.0,0,0,1
5123390360000,0,1,1,1.0,6425.0,4129.58,4734.586155692909,73.45062181021405,3447207.5665698936,1856.6657121221078,312.5584882192305,2,31308.0,1,0,0
5123390380000,0,1,1,1.0,6821.0,7102.13,7630.62140167903,73.96964646610778,5870939.796950422,2423.002228011857,421.0369906017228,2,58932.0,0,1,0
5123390390000,0,1,1,1.0,6701.0,7046.62,7576.540253673214,73.9599874684061,5213942.5849369485,2283.4059176889573,375.915110665966,15,74815.0,0,1,0
5123390400000,0,1,1,1.0,6624.0,6957.67,7489.879866083277,73.94450712471294,5137799.957956414,2266.67155934785,374.12072802420545,15,73106.0,0,1,0
5123390410000,0,1,1,1.0,6758.48,6997.83,7529.006129890044,73.95149674016041,5792837.078008302,2406.831335596307,415.7041318986941,2,57209.0,0,1,0
5123390420000,0,1,1,1.0,6624.0,7134.39,7662.051014985959,73.97525927642323,6208410.478913282,2491.6682120445494,448.71425837765844,15,48338.0,0,1,0
5123390430000,0,1,1,1.0,7456.0,4342.85,4581.0,75.90685081071405,2158987.254669856,1469.3492623164364,172.5809156410756,2,82699.0,1,0,0
5123390450000,0,1,1,1.0,7425.0,4531.32,4675.0,76.5265966837674,2214619.121034204,1488.1596423214157,175.19334870929546,2,85766.0,1,0,0
5123390460000,0,1,0,0.0,6990.0,9935.6,9265.0,81.67374119017691,4550358.710033318,2133.1569820417153,271.40395503002014,1,85445.0,0,0,1
5123390490000,0,1,1,1.0,6133.0,9650.28,8970.0,81.73297987960552,7546597.160126688,2747.1070529061453,479.1794501318616,1,58005.0,0,0,1
5123390500000,0,1,1,1.0,6208.0,5734.13,6297.834327783213,73.7312394593824,7332311.737395486,2707.8241703248545,615.9018679038627,1,67500.0,1,0,0
5123390540000,0,1,1,1.0,7080.0,4655.04,4100.0,80.96320151772656,4675538.462516723,2162.299346186074,399.8579032341335,8,52655.0,1,0,0
5123390580000,0,1,0,0.0,7458.0,9515.77,8386.0,84.43796539472041,4706954.201356053,2169.551612973532,271.4663014796732,2,76749.0,0,0,1
5123390590000,0,1,0,0.0,7268.0,4696.37,4063.0,81.4455032521747,1391344.5338336306,1179.5526837889145,111.6648903558291,1,44970.0,1,0,0
5123390600000,0,1,0,0.0,7309.0,9518.05,9238.0,79.24676649554857,7308136.329574257,2703.3564932458053,425.8820704880103,1,88136.0,0,0,1
5123390610000,0,1,0,0.0,7540.0,10620.96,8451.0,90.38783103936059,4733644.708490266,2175.6940751149427,272.0954594752122,2,85779.0,0,0,1
5123390620000,0,1,1,1.0,5831.0,4160.23,3994.0,78.52534622655286,2521449.3660543608,1587.9072284155523,248.4186567541242,13,43897.0,1,0,0
5123390640000,0,1,1,1.0,6425.0,4551.66,5145.80162948673,73.52454264062627,3464255.6569634224,1861.2510999226897,313.0257212400309,1,46863.0,1,0,0
