APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,sandperft,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
33061028610000,0,1,1,1.0,9734.21,122.62929177750486,1497.8806498322954,97187.0,207.47858455317288,0,0,1
33061028620000,0,1,1,1.0,9706.4,120.65663347637552,1493.7510339915323,104178.83,215.91861307155264,0,0,1
33061028630000,0,1,1,1.0,9813.81,117.15162483658698,1021.5810095379368,24705.5,109.85058139984717,0,0,1
33061028640000,0,1,0,0.0,9274.98,97.94525614777073,2512.8556759720777,55018.0,1176.0492528244595,1,0,0
33061028650000,0,1,0,0.0,9262.73,94.82480267236215,2571.59604434207,53337.17,1387.072975955924,1,0,0
33061028660000,0,1,0,0.0,9303.75,113.12711081722374,3373.45432826935,71505.5,1327.3422122520706,0,0,1
33061028670000,0,1,0,0.0,9293.96,110.69314884785065,3201.3076192455014,65428.33,1276.4351870168143,0,1,0
33061028680000,0,1,0,0.0,9279.47,107.48513014297569,3035.417436071664,100482.0,1257.1679839770163,0,1,0
33061028700000,0,1,1,1.0,9895.55,124.04202191939802,1960.2089127470285,107179.0,344.23029036115946,0,0,1
33061028710000,0,1,1,1.0,10024.34,124.11572503858011,1926.690409951114,4441.33,332.0146195385588,0,0,1
33061028720000,0,1,1,1.0,10005.17,124.12277471057607,1855.4356514403835,41565.67,307.86276070106663,0,0,1
33061028730000,0,1,1,1.0,9909.3,124.29924859729611,1881.260109192772,66880.0,315.256288036144,0,0,1
33061028740000,0,1,1,1.0,10056.16,124.8380679194148,1144.2053607215796,3840.67,115.24223095558547,0,0,1
33061028750000,0,1,1,1.0,10024.62,119.4397890229735,1924.8067032613178,81237.83,368.94625807945624,0,0,1
33061028760000,0,1,1,1.0,10186.2,119.37945050071399,2153.073569947197,13418.5,462.30678378650936,0,0,1
33061028770000,0,1,1,1.0,10217.28,121.77189003153569,2168.147362582005,3434.0,443.29697574868584,0,0,1
33061028780000,0,1,1,1.0,10251.4,121.55613189737662,2218.727923430383,2203.17,466.5312333047474,0,0,1
33061028790000,0,1,1,1.0,10167.97,119.49926025650711,2050.785563341849,8045.17,418.2300543766253,0,0,1
33061028810000,0,1,1,1.0,10458.32,119.38162841012189,1582.9702479362888,64101.67,249.88230894319608,0,0,1
33061028820000,0,1,1,1.0,10417.17,118.42002871918424,1684.6479846047032,69507.67,289.6185549306107,0,0,1
33061028830000,0,1,1,1.0,10577.31,118.86039374767535,1702.8781864242408,44333.67,292.79847550208524,0,0,1
33061028840000,0,1,1,1.0,10474.42,120.33861891285117,1354.5332516593107,38506.0,178.87344048788088,0,0,1
33061028850000,0,1,1,1.0,10239.64,123.79601448290822,1192.7664538664658,78618.17,128.15450092413593,0,0,1
33061028860000,0,1,1,1.0,10315.84,123.88887440707668,1196.0636973642465,61966.33,128.5975819014302,0,0,1
33061028870000,0,1,1,1.0,10297.27,124.28404242642102,1132.8702038419228,56696.17,114.35960051083676,0,0,1
33061028880000,0,1,1,1.0,10587.51,126.25178494521343,1762.9070390149755,56205.17,265.277379954022,0,0,1
33061028890000,0,1,1,1.0,10266.95,119.39875712021637,2025.7841307154818,95173.17,409.07151465050106,0,0,1
33061028900000,1,1,0,1.0,10196.66,106.27324781831231,1967.9300514599925,108970.33,547.7775151153305,0,1,0
